lead_id,channel,campaign,stage,device,region,conversion,revenue
107,Email,Campaign B,Visited,Mobile,West,0,24860.09
108,Social Media,Campaign B,Leads,Tablet,West,0,39730.35
109,Email,Campaign A,Proposal,Tablet,West,1,45897.27
110,Email,Campaign C,Qualified,Mobile,South,0,20029.98
111,Organic,Campaign B,Visited,Desktop,South,1,30224.09
112,Email,Campaign A,Qualified,Mobile,West,0,25534.13
113,Referral,Campaign A,Qualified,Desktop,East,0,49098.92
114,Email,Campaign B,Proposal,Tablet,West,0,41723.14
115,Organic,Campaign C,Qualified,Desktop,West,0,45675.15
116,Referral,Campaign A,Qualified,Tablet,North,1,13462.66
117,Paid Ads,Campaign C,Leads,Mobile,West,0,38853.79
118,Email,Campaign C,Visited,Mobile,South,1,14008.19
119,Organic,Campaign C,Visited,Tablet,North,1,11228.38
120,Paid Ads,Campaign A,Leads,Tablet,East,0,47269.04
121,Paid Ads,Campaign C,Qualified,Tablet,North,1,1945.92
122,Social Media,Campaign A,Leads,Mobile,East,0,48304.05
123,Referral,Campaign C,Visited,Mobile,North,1,8313.83
124,Email,Campaign A,Visited,Desktop,North,0,41152.47
125,Organic,Campaign C,Leads,Tablet,East,0,14520.21
126,Social Media,Campaign B,Visited,Desktop,South,1,18184.41
127,Referral,Campaign C,Qualified,Mobile,South,0,11621.13
128,Social Media,Campaign C,Visited,Desktop,South,0,29690.19
129,Referral,Campaign A,Qualified,Desktop,North,0,18056.68
130,Referral,Campaign A,Customer,Mobile,West,0,33212.26
131,Email,Campaign C,Visited,Mobile,North,0,1766.72
132,Referral,Campaign B,Leads,Tablet,West,1,4154.37
133,Social Media,Campaign B,Visited,Desktop,West,0,5883.4
134,Referral,Campaign A,Qualified,Mobile,South,0,21530.69
135,Email,Campaign B,Qualified,Mobile,West,0,40925.01
136,Email,Campaign C,Leads,Desktop,North,0,44520.72
137,Social Media,Campaign A,Leads,Mobile,North,0,12995.73
138,Paid Ads,Campaign C,Proposal,Tablet,South,1,29144.12
139,Paid Ads,Campaign A,Visited,Tablet,East,1,38649.88
140,Referral,Campaign A,Visited,Desktop,North,0,15152.64
141,Organic,Campaign A,Proposal,Tablet,West,0,21041.38
142,Referral,Campaign A,Qualified,Mobile,North,1,26674.74
143,Social Media,Campaign B,Proposal,Mobile,North,1,7608.87
144,Social Media,Campaign C,Qualified,Mobile,North,0,2273.13
145,Social Media,Campaign C,Proposal,Mobile,East,0,8487.48
146,Social Media,Campaign C,Leads,Desktop,West,1,31715.83
147,Social Media,Campaign A,Qualified,Tablet,South,0,4607.29
148,Email,Campaign B,Customer,Tablet,North,0,10295.12
149,Paid Ads,Campaign C,Qualified,Mobile,West,0,17554.84
150,Social Media,Campaign B,Visited,Desktop,West,0,4815.63
151,Organic,Campaign A,Visited,Mobile,South,0,10393.26
152,Organic,Campaign C,Visited,Mobile,North,0,45652.22
153,Organic,Campaign B,Visited,Desktop,East,0,1945.66
154,Organic,Campaign A,Leads,Desktop,West,0,33018.16
155,Email,Campaign B,Qualified,Mobile,South,0,19836.04
156,Organic,Campaign C,Qualified,Tablet,East,0,33959.79
157,Social Media,Campaign C,Leads,Mobile,West,1,29845.89
158,Referral,Campaign A,Qualified,Tablet,North,1,11951.44
159,Organic,Campaign A,Visited,Tablet,West,0,42513.26
160,Email,Campaign A,Visited,Desktop,East,0,25105.08
161,Email,Campaign B,Visited,Desktop,East,1,41304.26
162,Organic,Campaign B,Leads,Mobile,North,0,20894.61
163,Referral,Campaign B,Visited,Tablet,North,0,49249.59
164,Organic,Campaign A,Visited,Tablet,South,1,38753.98
165,Email,Campaign C,Leads,Mobile,North,0,48331.56
166,Paid Ads,Campaign C,Proposal,Mobile,South,1,26202.0
167,Social Media,Campaign B,Visited,Mobile,East,1,24210.87
168,Email,Campaign B,Qualified,Desktop,East,0,38017.24
169,Organic,Campaign C,Qualified,Mobile,West,0,44134.27
170,Social Media,Campaign C,Proposal,Mobile,West,0,48243.14
171,Organic,Campaign B,Customer,Tablet,South,0,16903.04
172,Organic,Campaign B,Visited,Mobile,North,0,40136.52
173,Paid Ads,Campaign C,Visited,Tablet,North,0,11321.63
174,Social Media,Campaign A,Proposal,Tablet,West,0,27733.14
175,Social Media,Campaign B,Leads,Desktop,East,1,9812.56
176,Paid Ads,Campaign C,Qualified,Mobile,South,0,18022.47
177,Email,Campaign C,Qualified,Mobile,East,0,46636.56
178,Organic,Campaign C,Qualified,Tablet,East,0,8158.44
179,Referral,Campaign C,Customer,Desktop,North,0,31987.64
180,Organic,Campaign A,Customer,Desktop,South,0,30054.76
181,Organic,Campaign C,Qualified,Mobile,East,0,6916.18
182,Email,Campaign B,Visited,Tablet,West,0,16972.97
183,Organic,Campaign A,Proposal,Mobile,West,1,28586.09
184,Paid Ads,Campaign C,Visited,Mobile,North,1,10171.75
185,Paid Ads,Campaign A,Visited,Mobile,West,0,40230.56
186,Social Media,Campaign B,Proposal,Mobile,West,0,48635.67
187,Referral,Campaign C,Visited,Tablet,East,0,11523.21
188,Organic,Campaign B,Visited,Desktop,West,0,10158.69
189,Organic,Campaign C,Visited,Mobile,West,0,23291.82
190,Email,Campaign C,Proposal,Mobile,East,1,37640.5
191,Paid Ads,Campaign C,Leads,Mobile,North,0,14798.43
192,Referral,Campaign C,Qualified,Mobile,North,0,1974.12
193,Social Media,Campaign C,Visited,Desktop,South,0,27519.81
194,Paid Ads,Campaign A,Proposal,Desktop,West,1,47873.43
195,Social Media,Campaign C,Proposal,Desktop,East,1,20172.57
196,Email,Campaign C,Leads,Desktop,South,0,21586.59
197,Email,Campaign A,Leads,Mobile,North,0,48476.18
198,Organic,Campaign A,Visited,Tablet,North,0,35035.77
199,Referral,Campaign A,Customer,Desktop,East,0,36239.42
200,Social Media,Campaign A,Qualified,Desktop,South,0,28572.4
201,Paid Ads,Campaign A,Customer,Mobile,South,1,48755.85
202,Email,Campaign A,Leads,Mobile,East,0,34754.46
203,Organic,Campaign C,Proposal,Mobile,East,1,44856.6
204,Organic,Campaign C,Proposal,Mobile,South,0,35269.56
205,Social Media,Campaign B,Qualified,Tablet,North,1,37020.68
206,Email,Campaign C,Customer,Tablet,West,1,15230.14
207,Referral,Campaign C,Leads,Desktop,North,0,15870.46
208,Email,Campaign A,Visited,Tablet,East,0,39366.25
209,Social Media,Campaign A,Qualified,Desktop,South,0,15538.61
210,Social Media,Campaign C,Qualified,Desktop,South,1,28575.73
211,Email,Campaign B,Qualified,Tablet,West,0,13218.26
212,Social Media,Campaign A,Visited,Desktop,South,0,41032.19
213,Email,Campaign C,Leads,Mobile,West,0,6414.57
214,Paid Ads,Campaign C,Leads,Desktop,North,0,41642.89
215,Email,Campaign B,Leads,Mobile,North,0,30533.76
216,Email,Campaign B,Qualified,Tablet,South,0,10158.57
217,Social Media,Campaign A,Qualified,Tablet,South,0,27559.73
218,Social Media,Campaign B,Visited,Desktop,East,0,14842.44
219,Organic,Campaign C,Leads,Mobile,East,1,16849.9
220,Organic,Campaign C,Visited,Desktop,South,1,18224.87
221,Paid Ads,Campaign B,Visited,Tablet,South,0,4102.64
222,Organic,Campaign B,Proposal,Desktop,North,1,49312.12
223,Email,Campaign B,Customer,Desktop,South,0,2545.2
224,Social Media,Campaign B,Leads,Mobile,East,0,33462.35
225,Organic,Campaign A,Proposal,Tablet,North,0,19190.15
226,Organic,Campaign B,Proposal,Desktop,West,0,32654.5
227,Paid Ads,Campaign A,Proposal,Mobile,East,0,18456.16
228,Paid Ads,Campaign C,Visited,Desktop,East,0,34013.78
229,Email,Campaign B,Customer,Mobile,North,0,36732.54
230,Social Media,Campaign A,Leads,Mobile,West,1,34837.08
231,Paid Ads,Campaign B,Leads,Desktop,East,0,6584.14
232,Organic,Campaign C,Visited,Tablet,South,0,33187.77
233,Social Media,Campaign C,Leads,Tablet,East,1,14719.39
234,Social Media,Campaign C,Visited,Mobile,North,1,2411.27
235,Organic,Campaign B,Visited,Tablet,North,0,21326.7
236,Paid Ads,Campaign B,Leads,Mobile,North,0,22243.61
237,Organic,Campaign A,Proposal,Tablet,East,0,23891.53
238,Social Media,Campaign C,Proposal,Desktop,West,0,35536.38
239,Referral,Campaign B,Leads,Tablet,South,0,16133.35
240,Referral,Campaign C,Proposal,Mobile,North,0,16448.75
241,Email,Campaign C,Proposal,Mobile,West,1,3967.06
242,Organic,Campaign A,Proposal,Tablet,South,0,34654.24
243,Organic,Campaign A,Visited,Desktop,North,1,28823.48
244,Email,Campaign A,Qualified,Mobile,South,1,18121.83
245,Email,Campaign A,Customer,Mobile,South,1,35554.26
246,Email,Campaign C,Qualified,Mobile,West,0,27330.53
247,Social Media,Campaign A,Leads,Mobile,South,1,23993.0
248,Organic,Campaign A,Leads,Mobile,North,0,26054.9
249,Social Media,Campaign A,Qualified,Desktop,West,0,32181.06
250,Email,Campaign A,Leads,Tablet,East,0,33340.13
251,Organic,Campaign C,Visited,Desktop,East,0,15158.93
252,Social Media,Campaign A,Leads,Desktop,West,1,7896.42
253,Social Media,Campaign C,Proposal,Mobile,East,1,8675.07
254,Email,Campaign B,Proposal,Desktop,South,0,32330.15
255,Organic,Campaign C,Visited,Mobile,North,0,43770.79
256,Email,Campaign C,Customer,Desktop,South,0,21065.32
257,Organic,Campaign A,Leads,Mobile,West,0,9306.49
258,Referral,Campaign B,Qualified,Mobile,North,1,38073.52
259,Paid Ads,Campaign B,Proposal,Desktop,West,0,41791.98
260,Paid Ads,Campaign B,Proposal,Desktop,West,1,44148.54
261,Paid Ads,Campaign B,Customer,Tablet,West,0,30734.74
262,Email,Campaign C,Leads,Tablet,South,0,43175.7
263,Referral,Campaign B,Proposal,Tablet,North,0,1755.33
264,Organic,Campaign C,Visited,Desktop,North,0,6254.55
265,Social Media,Campaign C,Qualified,Desktop,North,0,5536.23
266,Organic,Campaign C,Qualified,Mobile,South,1,35917.63
267,Social Media,Campaign B,Qualified,Tablet,East,1,4409.51
268,Organic,Campaign A,Visited,Mobile,South,0,25321.85
269,Referral,Campaign A,Proposal,Mobile,South,0,24162.64
270,Social Media,Campaign B,Visited,Mobile,West,0,16224.47
271,Email,Campaign A,Visited,Mobile,North,0,43649.85
272,Organic,Campaign A,Qualified,Tablet,North,0,9351.23
273,Organic,Campaign C,Leads,Mobile,East,0,18270.68
274,Social Media,Campaign C,Proposal,Desktop,East,1,38934.4
275,Email,Campaign B,Leads,Desktop,West,0,2490.69
276,Email,Campaign B,Visited,Desktop,North,1,33974.57
277,Referral,Campaign A,Proposal,Tablet,East,0,41003.49
278,Email,Campaign C,Leads,Mobile,East,1,46681.12
279,Email,Campaign B,Visited,Tablet,North,0,43938.54
280,Email,Campaign B,Qualified,Mobile,South,0,16649.82
281,Paid Ads,Campaign B,Leads,Tablet,East,1,29731.84
282,Referral,Campaign B,Qualified,Tablet,North,0,4787.38
283,Organic,Campaign B,Leads,Mobile,East,0,13635.63
284,Social Media,Campaign B,Proposal,Tablet,West,0,5616.9
285,Organic,Campaign A,Proposal,Mobile,East,1,16444.18
286,Referral,Campaign C,Qualified,Desktop,North,1,43884.17
287,Social Media,Campaign C,Visited,Desktop,East,0,18011.18
288,Referral,Campaign B,Proposal,Desktop,West,0,28533.01
289,Email,Campaign C,Qualified,Tablet,West,1,22235.66
290,Social Media,Campaign C,Qualified,Desktop,East,0,23486.91
291,Email,Campaign C,Leads,Mobile,East,0,48509.03
292,Organic,Campaign B,Proposal,Desktop,West,0,15511.57
293,Organic,Campaign B,Qualified,Desktop,West,0,31738.9
294,Social Media,Campaign C,Visited,Tablet,South,0,21583.07
295,Social Media,Campaign C,Leads,Mobile,South,0,3996.16
296,Referral,Campaign B,Proposal,Tablet,West,0,24977.21
297,Referral,Campaign A,Visited,Tablet,East,0,40853.82
298,Email,Campaign C,Customer,Mobile,North,0,5838.9
299,Social Media,Campaign A,Qualified,Tablet,East,0,4410.0
300,Organic,Campaign C,Qualified,Mobile,East,1,8527.94
301,Referral,Campaign A,Visited,Desktop,South,0,38455.61
302,Referral,Campaign A,Visited,Mobile,South,0,36475.77
303,Organic,Campaign A,Customer,Mobile,South,1,28685.87
304,Referral,Campaign B,Visited,Mobile,West,0,23943.09
305,Email,Campaign A,Proposal,Tablet,West,0,44527.96
306,Social Media,Campaign A,Leads,Mobile,East,0,38568.19
307,Organic,Campaign A,Visited,Mobile,East,1,40785.17
308,Social Media,Campaign C,Visited,Mobile,North,1,40849.85
309,Referral,Campaign A,Leads,Desktop,East,1,32493.14
310,Referral,Campaign C,Customer,Mobile,East,1,23442.72
311,Organic,Campaign A,Leads,Tablet,South,0,43369.21
312,Email,Campaign A,Leads,Mobile,South,0,46374.36
313,Paid Ads,Campaign B,Leads,Mobile,South,0,2166.5
314,Organic,Campaign C,Leads,Desktop,South,0,3526.19
315,Paid Ads,Campaign A,Leads,Mobile,South,0,47978.42
316,Paid Ads,Campaign C,Proposal,Tablet,North,0,14580.87
317,Email,Campaign C,Leads,Mobile,North,0,43795.1
318,Paid Ads,Campaign B,Leads,Tablet,North,1,20050.96
319,Paid Ads,Campaign B,Visited,Desktop,South,0,6835.9
320,Email,Campaign B,Customer,Mobile,West,0,4941.72
321,Paid Ads,Campaign B,Visited,Desktop,South,0,8668.89
322,Paid Ads,Campaign B,Visited,Mobile,South,0,13244.77
323,Paid Ads,Campaign B,Qualified,Tablet,North,0,24937.4
324,Organic,Campaign B,Qualified,Desktop,South,0,35373.4
325,Organic,Campaign B,Leads,Mobile,North,0,49333.53
326,Organic,Campaign A,Leads,Tablet,South,1,22633.83
327,Email,Campaign C,Proposal,Desktop,East,1,26391.06
328,Referral,Campaign B,Visited,Mobile,West,0,26568.97
329,Paid Ads,Campaign B,Proposal,Desktop,West,0,27432.28
330,Paid Ads,Campaign C,Qualified,Mobile,North,0,26369.29
331,Email,Campaign A,Leads,Tablet,East,1,1429.96
332,Paid Ads,Campaign C,Leads,Tablet,West,0,1084.52
333,Organic,Campaign C,Visited,Desktop,North,0,5785.65
334,Referral,Campaign B,Proposal,Desktop,South,1,5976.27
335,Social Media,Campaign C,Leads,Mobile,South,0,35539.95
336,Paid Ads,Campaign C,Leads,Tablet,East,0,11040.89
337,Organic,Campaign B,Qualified,Mobile,West,0,44840.99
338,Social Media,Campaign B,Customer,Tablet,South,0,46501.71
339,Referral,Campaign B,Leads,Desktop,North,0,48818.77
340,Social Media,Campaign B,Customer,Mobile,South,0,47014.98
341,Organic,Campaign C,Leads,Mobile,South,1,14322.53
342,Social Media,Campaign C,Visited,Tablet,West,0,25979.07
343,Email,Campaign A,Visited,Tablet,West,0,9597.29
344,Social Media,Campaign A,Leads,Tablet,North,0,40504.27
345,Paid Ads,Campaign C,Visited,Desktop,East,1,44533.15
346,Paid Ads,Campaign A,Visited,Mobile,East,0,42713.15
347,Email,Campaign C,Customer,Tablet,South,0,22234.98
348,Organic,Campaign A,Proposal,Desktop,North,0,38175.02
349,Paid Ads,Campaign B,Qualified,Tablet,East,1,5781.38
350,Referral,Campaign A,Visited,Mobile,East,0,2971.99
351,Paid Ads,Campaign B,Visited,Tablet,South,0,37908.58
352,Paid Ads,Campaign B,Visited,Mobile,North,0,21842.41
353,Organic,Campaign B,Qualified,Desktop,East,1,49781.91
354,Social Media,Campaign B,Customer,Desktop,West,0,5765.46
355,Paid Ads,Campaign A,Leads,Tablet,West,0,42925.76
356,Email,Campaign C,Visited,Mobile,South,1,24519.17
357,Social Media,Campaign B,Leads,Mobile,South,1,41530.36
358,Referral,Campaign A,Leads,Mobile,South,0,41039.24
359,Organic,Campaign B,Leads,Tablet,South,1,45883.61
360,Referral,Campaign A,Qualified,Mobile,East,0,15594.65
361,Social Media,Campaign A,Qualified,Mobile,North,0,47540.17
362,Social Media,Campaign A,Visited,Mobile,South,1,8431.68
363,Social Media,Campaign C,Visited,Mobile,South,0,5016.47
364,Referral,Campaign A,Customer,Tablet,East,0,22149.16
365,Social Media,Campaign A,Visited,Tablet,South,0,41587.83
366,Referral,Campaign C,Visited,Mobile,South,0,24197.64
367,Social Media,Campaign C,Visited,Mobile,North,0,41635.05
368,Email,Campaign A,Visited,Desktop,West,0,36754.65
369,Social Media,Campaign C,Leads,Desktop,South,1,11261.99
370,Referral,Campaign B,Proposal,Mobile,East,0,47495.2
371,Paid Ads,Campaign B,Leads,Mobile,North,0,3978.28
372,Social Media,Campaign C,Leads,Desktop,East,1,45015.71
373,Paid Ads,Campaign C,Qualified,Desktop,North,0,15917.73
374,Email,Campaign A,Leads,Mobile,North,0,25507.26
375,Organic,Campaign C,Proposal,Tablet,South,0,21695.24
376,Email,Campaign A,Proposal,Tablet,South,0,9419.89
377,Social Media,Campaign B,Visited,Mobile,South,0,18549.2
378,Paid Ads,Campaign C,Proposal,Mobile,West,0,10453.79
379,Paid Ads,Campaign A,Leads,Desktop,West,0,10990.44
380,Referral,Campaign A,Customer,Desktop,East,0,10165.78
381,Paid Ads,Campaign B,Leads,Tablet,South,0,24961.85
382,Referral,Campaign C,Customer,Mobile,West,1,40098.64
383,Organic,Campaign B,Proposal,Desktop,South,1,28879.53
384,Social Media,Campaign A,Visited,Tablet,West,0,44767.12
385,Referral,Campaign A,Leads,Tablet,West,0,32190.68
386,Organic,Campaign C,Customer,Tablet,North,1,34777.67
387,Paid Ads,Campaign A,Proposal,Desktop,South,0,33712.75
388,Paid Ads,Campaign C,Visited,Desktop,South,1,23023.5
389,Organic,Campaign B,Qualified,Mobile,West,0,34777.6
390,Paid Ads,Campaign C,Leads,Mobile,South,1,4415.68
391,Organic,Campaign C,Visited,Tablet,West,0,43132.72
392,Referral,Campaign A,Leads,Tablet,South,0,39112.8
393,Referral,Campaign A,Visited,Desktop,North,0,13016.27
394,Organic,Campaign C,Proposal,Desktop,South,0,38633.59
395,Referral,Campaign A,Leads,Mobile,North,0,1619.49
396,Referral,Campaign A,Proposal,Mobile,East,0,11645.08
397,Referral,Campaign A,Visited,Mobile,South,0,4191.72
398,Email,Campaign C,Leads,Desktop,South,0,39231.12
399,Social Media,Campaign A,Visited,Tablet,South,0,38037.83
400,Paid Ads,Campaign C,Visited,Mobile,North,0,40868.17
401,Email,Campaign A,Visited,Mobile,South,0,1219.6
402,Referral,Campaign B,Visited,Desktop,South,0,25560.4
403,Organic,Campaign A,Qualified,Mobile,West,0,35536.97
404,Referral,Campaign A,Visited,Tablet,East,0,8614.66
405,Social Media,Campaign C,Leads,Desktop,North,0,32839.75
406,Referral,Campaign C,Leads,Mobile,West,0,5121.39
407,Organic,Campaign A,Proposal,Mobile,North,0,9884.97
408,Social Media,Campaign B,Customer,Desktop,West,0,24314.04
409,Referral,Campaign A,Leads,Desktop,East,0,33024.69
410,Social Media,Campaign A,Leads,Mobile,West,1,8147.59
411,Paid Ads,Campaign B,Visited,Tablet,North,0,10075.94
412,Paid Ads,Campaign C,Customer,Desktop,South,0,11017.87
413,Referral,Campaign A,Visited,Tablet,South,0,12696.34
414,Social Media,Campaign C,Visited,Mobile,East,0,12101.14
415,Organic,Campaign C,Visited,Tablet,North,0,20362.31
416,Referral,Campaign B,Leads,Mobile,North,0,33035.69
417,Paid Ads,Campaign B,Visited,Mobile,North,1,22463.56
418,Paid Ads,Campaign C,Proposal,Mobile,East,1,39022.72
419,Referral,Campaign A,Visited,Mobile,South,1,36244.16
420,Social Media,Campaign C,Qualified,Tablet,West,0,7199.82
421,Paid Ads,Campaign A,Visited,Mobile,East,0,3393.24
422,Social Media,Campaign A,Visited,Mobile,West,0,44019.14
423,Paid Ads,Campaign B,Customer,Tablet,South,1,4911.72
424,Paid Ads,Campaign A,Visited,Desktop,East,0,8268.62
425,Email,Campaign A,Proposal,Tablet,South,0,2084.53
426,Paid Ads,Campaign C,Leads,Tablet,West,0,31788.48
427,Organic,Campaign B,Visited,Tablet,North,0,29536.16
428,Referral,Campaign A,Customer,Mobile,North,1,49358.28
429,Referral,Campaign A,Visited,Mobile,West,0,44459.69
430,Social Media,Campaign B,Proposal,Mobile,North,0,21131.32
431,Paid Ads,Campaign C,Visited,Desktop,West,0,19207.71
432,Organic,Campaign B,Proposal,Mobile,East,1,15545.75
433,Social Media,Campaign B,Visited,Desktop,East,0,8467.94
434,Email,Campaign A,Leads,Mobile,East,1,7766.1
435,Social Media,Campaign A,Proposal,Tablet,North,0,7481.9
436,Social Media,Campaign C,Customer,Mobile,South,1,6591.62
437,Paid Ads,Campaign A,Customer,Desktop,North,0,12785.09
438,Email,Campaign A,Proposal,Desktop,North,0,16026.76
439,Social Media,Campaign B,Proposal,Mobile,South,0,48117.37
440,Organic,Campaign A,Visited,Tablet,South,0,29345.19
441,Organic,Campaign C,Visited,Mobile,South,0,49392.19
442,Referral,Campaign B,Visited,Mobile,South,1,19250.88
443,Email,Campaign C,Leads,Mobile,North,0,23423.7
444,Email,Campaign B,Leads,Tablet,West,0,16904.35
445,Referral,Campaign A,Leads,Desktop,East,0,9961.49
446,Social Media,Campaign B,Visited,Tablet,West,0,8015.07
447,Email,Campaign B,Qualified,Desktop,North,1,47308.88
448,Organic,Campaign A,Visited,Desktop,South,0,49353.72
449,Organic,Campaign A,Leads,Desktop,East,1,3200.57
450,Paid Ads,Campaign C,Leads,Tablet,East,1,8366.95
