CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,InternetService,TechSupport,TotalCharges,Churn
C00037,Female,0,18,90.62,Two year,Electronic check,DSL,Yes,1601.99,No
C00038,Male,0,7,98.27,Two year,Bank transfer,Fiber optic,No,658.0,No
C00039,Male,0,4,65.53,Month-to-month,Credit card,Fiber optic,No,280.4,Yes
C00040,Male,0,69,89.81,Month-to-month,Electronic check,Fiber optic,No,6229.47,No
C00041,Male,1,60,58.8,Month-to-month,Credit card,Fiber optic,No,3549.59,Yes
C00042,Male,0,55,35.99,Month-to-month,Mailed check,Fiber optic,No,1994.02,Yes
C00043,Female,0,16,59.81,Two year,Mailed check,DSL,No,998.61,No
C00044,Female,0,29,78.0,Month-to-month,Electronic check,Fiber optic,No,2217.84,No
C00045,Female,1,23,114.81,Month-to-month,Electronic check,Fiber optic,Yes,2607.38,Yes
C00046,Female,0,14,26.88,Two year,Credit card,Fiber optic,No,367.76,No
C00047,Female,0,49,70.74,Month-to-month,Mailed check,DSL,No,3453.51,Yes
C00048,Male,0,33,52.89,Month-to-month,Electronic check,No,Yes,1737.18,No
C00049,Female,0,25,70.83,Two year,Mailed check,Fiber optic,No,1741.4,Yes
C00050,Female,0,21,22.4,One year,Mailed check,DSL,No,435.35,No
C00051,Male,0,17,51.3,One year,Mailed check,Fiber optic,No,873.02,No
C00052,Female,0,23,101.99,Month-to-month,Credit card,No,No,2388.58,Yes
C00053,Male,0,57,75.39,One year,Credit card,DSL,Yes,4286.43,No
C00054,Female,1,58,65.06,Month-to-month,Mailed check,Fiber optic,Yes,3727.82,No
C00055,Male,1,14,48.55,Month-to-month,Mailed check,Fiber optic,Yes,700.32,Yes
C00056,Female,0,20,49.8,Two year,Mailed check,Fiber optic,No,975.11,No
C00057,Female,0,30,58.31,Month-to-month,Bank transfer,Fiber optic,Yes,1723.81,Yes
C00058,Male,0,19,103.56,One year,Bank transfer,DSL,No,1950.07,No
C00059,Male,0,53,116.72,Month-to-month,Credit card,DSL,No,6208.54,Yes
C00060,Male,0,56,63.87,Month-to-month,Mailed check,DSL,Yes,3608.6,Yes
C00061,Male,0,23,59.34,One year,Bank transfer,DSL,No,1373.63,No
C00062,Male,0,62,104.66,Month-to-month,Electronic check,Fiber optic,No,6471.17,Yes
C00063,Male,1,33,62.69,One year,Electronic check,Fiber optic,No,2049.82,Yes
C00064,Male,0,18,75.2,Month-to-month,Mailed check,DSL,No,1316.03,Yes
C00065,Male,0,33,43.09,Two year,Bank transfer,Fiber optic,No,1465.3,No
C00066,Female,0,32,94.35,Month-to-month,Electronic check,Fiber optic,No,3033.01,No
C00067,Female,0,61,73.2,Month-to-month,Credit card,DSL,No,4417.9,Yes
C00068,Male,0,54,100.9,Month-to-month,Electronic check,Fiber optic,Yes,5464.84,No
C00069,Female,0,17,98.07,Two year,Credit card,Fiber optic,No,1661.91,Yes
C00070,Female,0,19,41.5,One year,Electronic check,Fiber optic,No,835.76,Yes
C00071,Female,0,70,91.56,One year,Electronic check,DSL,No,6441.11,Yes
C00072,Female,0,34,100.01,Month-to-month,Bank transfer,Fiber optic,Yes,3367.47,Yes
C00073,Male,0,25,54.61,Month-to-month,Electronic check,No,No,1387.26,Yes
C00074,Female,1,68,37.26,Month-to-month,Electronic check,Fiber optic,No,2532.24,No
C00075,Male,1,11,20.26,Month-to-month,Credit card,DSL,Yes,191.56,Yes
C00076,Female,1,16,65.09,Month-to-month,Credit card,Fiber optic,No,1061.31,Yes
C00077,Female,0,61,55.24,Two year,Electronic check,DSL,Yes,3374.38,No
C00078,Female,0,7,75.49,One year,Mailed check,Fiber optic,Yes,481.47,No
C00079,Male,1,16,38.8,Month-to-month,Electronic check,DSL,No,635.46,Yes
C00080,Female,0,16,105.97,Month-to-month,Electronic check,DSL,No,1709.02,No
C00081,Male,0,40,45.78,One year,Bank transfer,Fiber optic,No,1795.61,Yes
C00082,Female,0,12,42.64,Month-to-month,Electronic check,DSL,No,496.58,No
C00083,Male,0,35,68.07,Month-to-month,Electronic check,Fiber optic,No,2391.04,Yes
C00084,Female,1,21,69.89,Month-to-month,Credit card,DSL,No,1431.57,Yes
C00085,Male,0,50,41.51,Month-to-month,Credit card,DSL,No,2110.77,Yes
C00086,Male,0,43,47.19,One year,Credit card,Fiber optic,Yes,1981.92,No
C00087,Female,0,17,36.97,Month-to-month,Credit card,No,No,588.77,Yes
C00088,Male,0,32,91.85,Month-to-month,Electronic check,DSL,Yes,2900.81,Yes
C00089,Female,1,41,97.01,Month-to-month,Mailed check,Fiber optic,No,3980.22,Yes
C00090,Female,0,6,66.23,One year,Bank transfer,DSL,Yes,409.39,No
C00091,Female,0,27,91.41,Month-to-month,Bank transfer,Fiber optic,Yes,2458.44,Yes
C00092,Female,1,20,93.59,Month-to-month,Mailed check,Fiber optic,No,1850.67,Yes
C00093,Female,0,25,33.83,Two year,Mailed check,DSL,No,876.68,No
C00094,Female,0,66,116.62,Two year,Bank transfer,Fiber optic,No,7653.75,No
C00095,Female,0,9,102.1,Two year,Electronic check,DSL,No,896.93,Yes
C00096,Female,0,53,40.45,One year,Bank transfer,DSL,Yes,2097.76,No
C00097,Female,0,61,38.62,Month-to-month,Mailed check,Fiber optic,No,2307.21,No
C00098,Female,0,38,32.57,Month-to-month,Electronic check,Fiber optic,No,1223.0,Yes
C00099,Female,0,3,33.84,Month-to-month,Bank transfer,Fiber optic,No,71.0,Yes
C00100,Male,0,70,94.82,Month-to-month,Electronic check,Fiber optic,No,6614.24,Yes
C00101,Male,1,55,66.97,Two year,Electronic check,Fiber optic,No,3715.44,No
C00102,Female,0,1,98.29,One year,Mailed check,Fiber optic,No,64.59,No
C00103,Female,0,70,94.63,One year,Credit card,DSL,No,6652.12,No
C00104,Female,0,45,80.46,Month-to-month,Bank transfer,Fiber optic,No,3638.21,No
C00105,Female,0,47,88.64,Two year,Mailed check,Fiber optic,No,4148.72,No
C00106,Female,0,26,21.84,One year,Bank transfer,Fiber optic,No,572.5,No
C00107,Female,1,14,51.18,Month-to-month,Credit card,Fiber optic,No,710.96,Yes
C00108,Female,1,54,83.78,Two year,Credit card,DSL,No,4486.96,No
C00109,Female,0,71,20.93,Month-to-month,Credit card,Fiber optic,No,1526.75,Yes
C00110,Male,1,46,23.3,Month-to-month,Credit card,DSL,Yes,1078.76,Yes
C00111,Female,0,31,105.19,One year,Bank transfer,Fiber optic,No,3298.91,No
C00112,Male,0,59,88.4,One year,Electronic check,Fiber optic,Yes,5247.98,No
C00113,Female,0,29,46.54,Month-to-month,Electronic check,Fiber optic,Yes,1307.64,Yes
C00114,Female,1,17,88.8,Month-to-month,Credit card,Fiber optic,Yes,1480.33,No
C00115,Male,0,14,99.25,Two year,Credit card,Fiber optic,Yes,1354.03,No
C00116,Female,0,36,50.68,One year,Electronic check,Fiber optic,No,1857.56,Yes
C00117,Male,0,58,23.6,One year,Mailed check,No,No,1405.04,No
C00118,Female,0,24,113.28,Month-to-month,Credit card,Fiber optic,No,2721.52,No
C00119,Female,0,63,54.52,Month-to-month,Electronic check,No,No,3395.18,Yes
C00120,Male,1,25,30.65,Month-to-month,Mailed check,DSL,Yes,729.81,Yes
C00121,Female,1,59,69.19,Month-to-month,Electronic check,DSL,No,4113.56,Yes
C00122,Male,0,32,96.85,Month-to-month,Mailed check,Fiber optic,No,3142.12,No
C00123,Female,1,18,42.16,Month-to-month,Bank transfer,No,Yes,728.83,Yes
C00124,Male,0,37,46.95,Month-to-month,Mailed check,Fiber optic,Yes,1688.26,Yes
C00125,Male,1,26,44.27,Month-to-month,Credit card,DSL,No,1134.12,No
C00126,Female,0,9,119.17,One year,Mailed check,Fiber optic,Yes,1025.58,No
C00127,Female,0,64,39.74,Month-to-month,Mailed check,Fiber optic,No,2576.16,Yes
C00128,Male,0,20,77.55,Month-to-month,Credit card,DSL,Yes,1550.15,No
C00129,Female,1,54,112.53,Month-to-month,Bank transfer,Fiber optic,Yes,6090.81,No
C00130,Female,0,30,34.69,Month-to-month,Mailed check,No,Yes,1031.85,No
C00131,Female,0,53,117.09,Month-to-month,Bank transfer,Fiber optic,No,6190.32,Yes
C00132,Male,0,63,114.75,Two year,Electronic check,DSL,Yes,7201.47,No
C00133,Male,0,11,108.46,One year,Electronic check,DSL,Yes,1220.11,No
C00134,Male,0,31,41.46,Month-to-month,Credit card,DSL,No,1304.81,Yes
C00135,Male,0,49,83.41,Month-to-month,Bank transfer,DSL,No,4073.16,Yes
C00136,Male,1,19,96.09,Month-to-month,Credit card,DSL,No,1807.82,Yes
C00137,Male,0,12,118.6,One year,Credit card,Fiber optic,No,1373.32,No
C00138,Male,0,15,38.04,Month-to-month,Mailed check,DSL,No,526.96,No
C00139,Male,0,31,96.6,Month-to-month,Electronic check,Fiber optic,Yes,3006.93,No
C00140,Male,1,43,53.88,One year,Credit card,No,No,2318.3,Yes
C00141,Female,1,37,37.56,One year,Mailed check,DSL,No,1383.2,No
C00142,Male,0,29,62.14,One year,Mailed check,No,No,1834.81,Yes
C00143,Female,0,26,99.38,Two year,Bank transfer,Fiber optic,No,2584.27,No
C00144,Female,0,2,66.48,Two year,Electronic check,Fiber optic,Yes,121.41,No
C00145,Female,0,15,73.75,Month-to-month,Bank transfer,DSL,No,1072.38,Yes
C00146,Male,1,4,119.52,Month-to-month,Bank transfer,Fiber optic,No,510.15,Yes
C00147,Male,0,50,59.91,One year,Credit card,DSL,No,3003.12,No
C00148,Male,0,38,81.54,One year,Bank transfer,Fiber optic,No,3057.77,No
C00149,Male,0,23,56.52,Two year,Credit card,DSL,No,1314.85,No
C00150,Female,1,59,59.28,Month-to-month,Bank transfer,Fiber optic,Yes,3490.03,Yes
C00151,Male,0,28,89.56,Month-to-month,Mailed check,DSL,No,2538.82,Yes
C00152,Male,0,66,113.79,Month-to-month,Electronic check,DSL,No,7552.03,Yes
C00153,Male,0,8,74.24,Month-to-month,Electronic check,Fiber optic,Yes,603.97,Yes
C00154,Male,1,29,96.84,Month-to-month,Electronic check,Fiber optic,No,2831.52,No
C00155,Male,0,11,28.92,One year,Mailed check,Fiber optic,No,273.78,No
C00156,Female,0,18,41.12,Month-to-month,Mailed check,DSL,No,746.19,Yes
C00157,Male,0,55,70.21,One year,Bank transfer,Fiber optic,Yes,3887.08,No
C00158,Female,0,50,22.0,One year,Bank transfer,Fiber optic,No,1099.68,Yes
C00159,Male,0,14,45.29,Month-to-month,Bank transfer,DSL,Yes,643.42,No
C00160,Female,0,9,71.74,Month-to-month,Bank transfer,Fiber optic,No,685.55,Yes
C00161,Male,0,11,21.5,One year,Electronic check,Fiber optic,No,206.31,Yes
C00162,Male,0,63,46.45,One year,Bank transfer,DSL,No,2886.17,Yes
C00163,Female,0,67,71.4,Two year,Mailed check,Fiber optic,Yes,4802.86,No
C00164,Female,1,53,77.31,Two year,Mailed check,Fiber optic,No,4129.71,No
C00165,Female,0,39,112.58,Two year,Mailed check,Fiber optic,No,4425.67,No
C00166,Male,1,56,84.53,Month-to-month,Credit card,DSL,No,4747.84,Yes
C00167,Female,0,28,61.47,Two year,Credit card,Fiber optic,No,1754.48,Yes
C00168,Male,0,39,113.04,One year,Credit card,DSL,No,4428.63,No
C00169,Male,0,25,98.49,Two year,Bank transfer,No,No,2420.99,No
C00170,Female,0,21,40.0,Month-to-month,Electronic check,DSL,No,866.2,Yes
C00171,Female,0,10,33.08,Two year,Electronic check,Fiber optic,No,298.74,No
C00172,Male,0,43,87.58,Month-to-month,Bank transfer,Fiber optic,No,3739.6,Yes
C00173,Male,0,15,75.99,One year,Bank transfer,DSL,No,1129.32,No
C00174,Female,1,48,98.97,Month-to-month,Credit card,Fiber optic,No,4732.02,Yes
C00175,Female,0,21,93.88,Month-to-month,Mailed check,Fiber optic,No,1953.65,Yes
C00176,Female,1,60,82.52,Month-to-month,Mailed check,DSL,Yes,4918.13,No
C00177,Male,0,50,118.64,Month-to-month,Credit card,Fiber optic,No,5911.39,Yes
C00178,Male,0,23,73.36,Month-to-month,Credit card,Fiber optic,Yes,1639.25,No
C00179,Male,0,13,31.31,One year,Electronic check,DSL,No,404.32,No
C00180,Male,0,69,102.83,Month-to-month,Credit card,No,No,7122.13,Yes
C00181,Male,0,4,45.19,Month-to-month,Mailed check,Fiber optic,No,216.98,Yes
C00182,Male,0,9,97.73,Month-to-month,Mailed check,DSL,No,911.61,Yes
C00183,Female,0,35,115.71,Month-to-month,Bank transfer,Fiber optic,Yes,4041.5,No
C00184,Male,0,21,89.68,Month-to-month,Electronic check,DSL,No,1906.32,Yes
C00185,Male,0,58,79.6,Month-to-month,Bank transfer,Fiber optic,No,4595.59,No
C00186,Male,1,18,66.04,Month-to-month,Electronic check,No,No,1144.28,No
C00187,Female,1,43,56.44,One year,Bank transfer,DSL,No,2444.52,No
C00188,Male,0,6,55.3,Month-to-month,Electronic check,Fiber optic,No,346.68,Yes
C00189,Male,0,67,83.64,Month-to-month,Credit card,Fiber optic,No,5634.04,Yes
C00190,Female,0,12,95.13,Month-to-month,Mailed check,DSL,No,1153.17,No
C00191,Male,0,12,87.85,Two year,Credit card,No,No,1019.89,Yes
C00192,Male,1,66,39.84,Month-to-month,Electronic check,Fiber optic,No,2664.76,No
C00193,Male,0,2,69.4,Month-to-month,Electronic check,Fiber optic,Yes,151.53,No
C00194,Male,0,15,99.16,Month-to-month,Bank transfer,Fiber optic,No,1518.16,Yes
C00195,Male,0,23,67.57,Month-to-month,Electronic check,DSL,No,1581.52,No
C00196,Female,0,29,73.66,Month-to-month,Credit card,DSL,No,2115.93,Yes
C00197,Female,0,7,97.11,Month-to-month,Electronic check,No,No,637.23,Yes
C00198,Female,1,28,86.13,Month-to-month,Electronic check,Fiber optic,No,2379.29,Yes
C00199,Male,0,14,60.93,Month-to-month,Bank transfer,Fiber optic,No,812.31,Yes
C00200,Male,0,44,109.54,Month-to-month,Electronic check,DSL,Yes,4794.1,Yes
C00201,Male,1,30,36.26,One year,Bank transfer,Fiber optic,No,1083.75,No
C00202,Female,0,32,119.55,Two year,Mailed check,No,Yes,3866.28,No
C00203,Male,0,70,31.89,Month-to-month,Bank transfer,DSL,Yes,2269.5,No
C00204,Male,0,6,21.49,One year,Electronic check,DSL,No,150.8,No
C00205,Female,0,27,109.0,Two year,Mailed check,Fiber optic,No,2895.41,No
C00206,Male,1,24,44.5,One year,Electronic check,DSL,No,1052.14,No
C00207,Female,0,34,92.97,Month-to-month,Bank transfer,DSL,No,3179.21,Yes
C00208,Female,1,40,101.1,One year,Credit card,Fiber optic,No,4006.9,Yes
C00209,Female,0,47,105.9,Month-to-month,Mailed check,No,No,5007.41,Yes
C00210,Male,1,24,119.16,Month-to-month,Credit card,Fiber optic,Yes,2901.3,No
C00211,Male,0,65,49.4,Month-to-month,Credit card,Fiber optic,No,3196.41,No
C00212,Male,1,18,91.02,Month-to-month,Mailed check,Fiber optic,No,1658.94,Yes
C00213,Male,0,44,31.54,Month-to-month,Credit card,Fiber optic,No,1352.58,Yes
C00214,Male,1,57,60.68,Month-to-month,Credit card,DSL,Yes,3477.84,Yes
C00215,Male,0,28,104.8,One year,Credit card,DSL,No,2886.55,Yes
C00216,Male,0,71,56.77,Month-to-month,Credit card,DSL,No,3995.75,No
C00217,Female,1,23,79.11,Month-to-month,Mailed check,DSL,No,1840.52,Yes
C00218,Male,0,34,70.38,Month-to-month,Electronic check,DSL,No,2414.11,No
C00219,Female,1,11,84.6,Month-to-month,Credit card,DSL,No,944.72,Yes
C00220,Male,0,35,117.29,Month-to-month,Mailed check,DSL,Yes,4102.89,No
C00221,Male,0,42,25.57,Two year,Mailed check,DSL,No,1091.43,No
C00222,Male,0,28,77.4,Month-to-month,Mailed check,Fiber optic,No,2194.58,No
C00223,Female,0,24,106.3,Month-to-month,Mailed check,DSL,Yes,2597.85,No
C00224,Female,0,8,68.14,Two year,Bank transfer,Fiber optic,No,583.98,Yes
C00225,Female,0,53,27.85,Month-to-month,Electronic check,DSL,No,1505.5,Yes
C00226,Female,0,4,76.05,Two year,Electronic check,Fiber optic,No,323.68,No
C00227,Male,0,5,53.21,Month-to-month,Credit card,No,Yes,273.47,Yes
C00228,Female,0,49,35.49,Month-to-month,Mailed check,Fiber optic,Yes,1701.07,No
C00229,Male,0,30,104.9,Month-to-month,Bank transfer,Fiber optic,Yes,3113.56,Yes
C00230,Male,0,63,72.16,Month-to-month,Mailed check,No,No,4578.11,Yes
C00231,Female,0,47,113.33,Month-to-month,Credit card,DSL,No,5356.84,Yes
C00232,Female,0,26,100.6,Two year,Electronic check,No,Yes,2627.05,No
C00233,Female,1,57,89.3,One year,Credit card,Fiber optic,No,5083.98,Yes
C00234,Female,1,37,20.5,One year,Credit card,Fiber optic,Yes,711.1,No
C00235,Female,0,7,62.78,One year,Credit card,DSL,Yes,422.18,No
C00236,Female,0,40,39.75,Month-to-month,Credit card,Fiber optic,No,1582.06,Yes
C00237,Female,1,39,111.08,One year,Credit card,Fiber optic,Yes,4330.7,Yes
C00238,Female,0,62,37.46,Month-to-month,Credit card,Fiber optic,Yes,2365.45,No
C00239,Male,0,53,48.61,One year,Credit card,Fiber optic,No,2537.2,No
C00240,Female,0,4,71.68,Month-to-month,Electronic check,DSL,No,288.61,No
C00241,Female,0,25,46.34,One year,Electronic check,DSL,No,1145.29,No
C00242,Male,0,7,40.99,Two year,Mailed check,Fiber optic,No,335.94,Yes
C00243,Female,0,28,79.91,Month-to-month,Mailed check,DSL,No,2273.67,Yes
C00244,Male,1,69,28.89,Month-to-month,Bank transfer,DSL,No,1987.29,No
C00245,Male,1,67,25.82,Month-to-month,Bank transfer,DSL,No,1779.91,No
C00246,Female,0,20,57.22,Month-to-month,Electronic check,DSL,No,1145.81,Yes
C00247,Male,0,11,92.07,One year,Electronic check,Fiber optic,No,979.48,No
C00248,Male,1,67,75.48,Two year,Bank transfer,DSL,No,5062.75,Yes
C00249,Male,0,7,62.29,Month-to-month,Electronic check,No,No,408.65,Yes
C00250,Male,0,23,76.58,Month-to-month,Bank transfer,Fiber optic,No,1774.97,Yes
C00251,Female,0,61,56.55,One year,Mailed check,Fiber optic,No,3493.29,Yes
C00252,Male,1,71,113.61,Month-to-month,Electronic check,DSL,No,8094.93,No
C00253,Female,0,34,25.49,Month-to-month,Electronic check,Fiber optic,Yes,843.98,No
C00254,Male,1,19,87.34,Two year,Bank transfer,Fiber optic,No,1639.15,No
C00255,Male,1,58,109.13,One year,Credit card,No,No,6286.47,Yes
C00256,Male,0,9,100.39,Month-to-month,Credit card,Fiber optic,Yes,882.1,Yes
C00257,Male,0,48,38.4,Month-to-month,Mailed check,Fiber optic,No,1802.46,Yes
C00258,Female,0,41,49.59,One year,Electronic check,Fiber optic,No,2033.13,No
C00259,Female,0,48,91.7,One year,Electronic check,DSL,No,4422.43,Yes
C00260,Male,0,45,28.43,One year,Bank transfer,DSL,No,1304.47,No
C00261,Male,0,25,101.19,Month-to-month,Credit card,Fiber optic,No,2485.7,Yes
C00262,Female,0,25,91.89,Two year,Credit card,DSL,No,2281.25,No
C00263,Male,1,19,92.96,Month-to-month,Mailed check,DSL,Yes,1745.06,No
C00264,Male,0,39,30.02,One year,Credit card,Fiber optic,No,1131.21,No
C00265,Male,0,27,91.78,Month-to-month,Credit card,DSL,No,2464.31,Yes
C00266,Female,0,63,87.98,Month-to-month,Credit card,Fiber optic,No,5522.67,Yes
C00267,Female,0,68,103.09,Two year,Bank transfer,No,No,7023.57,Yes
C00268,Female,0,19,24.16,Month-to-month,Credit card,DSL,No,497.37,No
C00269,Male,0,28,22.31,Month-to-month,Mailed check,DSL,No,620.16,No
C00270,Male,0,33,57.3,One year,Credit card,DSL,No,1915.57,Yes
C00271,Female,0,10,34.88,One year,Mailed check,DSL,Yes,313.4,No
C00272,Female,0,30,75.84,One year,Bank transfer,DSL,Yes,2314.7,No
C00273,Female,0,22,111.73,Month-to-month,Bank transfer,DSL,No,2423.32,Yes
C00274,Female,0,3,59.15,Month-to-month,Mailed check,Fiber optic,Yes,146.66,Yes
C00275,Male,1,48,104.5,Two year,Bank transfer,DSL,No,4976.65,No
C00276,Female,0,2,20.02,Month-to-month,Electronic check,Fiber optic,No,21.01,Yes
C00277,Male,0,54,36.85,Two year,Electronic check,Fiber optic,No,1995.14,No
C00278,Female,0,6,23.04,Month-to-month,Electronic check,Fiber optic,No,187.04,Yes
C00279,Male,0,40,52.81,One year,Electronic check,Fiber optic,No,2141.74,No
C00280,Female,0,2,110.82,Month-to-month,Electronic check,DSL,No,209.68,Yes
C00281,Female,0,2,29.7,Month-to-month,Bank transfer,Fiber optic,Yes,66.98,Yes
C00282,Female,0,55,80.64,Two year,Mailed check,DSL,No,4447.53,Yes
C00283,Female,0,60,65.15,Month-to-month,Bank transfer,DSL,Yes,3941.27,No
C00284,Male,0,6,113.85,One year,Credit card,Fiber optic,Yes,706.75,Yes
C00285,Female,0,19,32.25,One year,Electronic check,DSL,No,619.68,Yes
C00286,Male,0,27,41.2,One year,Electronic check,DSL,No,1129.32,No
C00287,Male,1,1,22.95,Two year,Bank transfer,Fiber optic,Yes,47.54,Yes
C00288,Male,0,33,63.39,Month-to-month,Credit card,No,No,2055.18,No
C00289,Male,0,40,47.78,Month-to-month,Bank transfer,DSL,No,1881.25,Yes
C00290,Female,0,32,106.99,Month-to-month,Mailed check,DSL,Yes,3442.54,Yes
C00291,Male,0,69,80.49,Month-to-month,Electronic check,Fiber optic,No,5588.85,Yes
C00292,Male,0,17,81.41,Month-to-month,Bank transfer,Fiber optic,No,1374.9,Yes
C00293,Male,0,8,73.19,Month-to-month,Mailed check,DSL,No,633.51,Yes
C00294,Female,0,57,29.19,Month-to-month,Electronic check,Fiber optic,No,1635.44,Yes
C00295,Female,0,42,64.5,Month-to-month,Electronic check,No,Yes,2700.67,No
C00296,Female,0,9,119.95,Month-to-month,Electronic check,DSL,Yes,1067.4,No
C00297,Female,0,35,103.52,One year,Credit card,No,Yes,3666.23,No
C00298,Male,0,71,109.35,Month-to-month,Bank transfer,No,No,7742.39,Yes
C00299,Male,0,53,102.32,Month-to-month,Electronic check,DSL,Yes,5420.04,Yes
C00300,Female,0,54,30.3,Two year,Electronic check,Fiber optic,Yes,1604.92,No
C00301,Male,1,25,42.74,Month-to-month,Mailed check,DSL,Yes,1070.63,Yes
C00302,Male,0,67,20.31,Two year,Bank transfer,Fiber optic,No,1396.51,No
C00303,Male,0,62,50.35,One year,Mailed check,Fiber optic,Yes,3102.1,No
C00304,Female,0,55,30.86,Month-to-month,Bank transfer,DSL,No,1728.38,No
C00305,Female,1,46,67.28,One year,Electronic check,Fiber optic,No,3136.01,No
C00306,Male,0,24,87.71,One year,Credit card,Fiber optic,No,2062.34,No
C00307,Female,0,46,107.45,Month-to-month,Mailed check,DSL,Yes,4968.34,No
C00308,Female,0,22,94.92,Two year,Credit card,DSL,Yes,2063.77,No
C00309,Female,0,11,113.86,Month-to-month,Credit card,DSL,No,1219.99,Yes
C00310,Female,0,48,25.39,Month-to-month,Credit card,Fiber optic,No,1228.83,No
C00311,Female,0,8,21.22,Month-to-month,Bank transfer,No,No,190.32,Yes
C00312,Male,1,39,86.13,Month-to-month,Bank transfer,Fiber optic,Yes,3348.55,Yes
C00313,Female,0,35,48.94,Month-to-month,Credit card,Fiber optic,Yes,1666.82,Yes
C00314,Male,0,49,45.35,Two year,Electronic check,Fiber optic,No,2263.02,Yes
C00315,Male,1,46,53.09,Month-to-month,Electronic check,DSL,No,2465.21,Yes
C00316,Female,0,38,46.98,Month-to-month,Credit card,DSL,No,1762.41,Yes
C00317,Male,0,8,71.14,Month-to-month,Mailed check,Fiber optic,No,568.81,Yes
C00318,Male,0,54,64.01,Two year,Mailed check,Fiber optic,No,3409.32,No
C00319,Male,0,37,71.24,Two year,Bank transfer,Fiber optic,No,2619.81,No
C00320,Female,0,40,87.27,One year,Mailed check,No,No,3493.05,Yes
C00321,Female,1,34,58.71,Two year,Electronic check,Fiber optic,No,1997.86,No
C00322,Male,0,17,45.13,One year,Credit card,Fiber optic,No,738.03,No
C00323,Female,0,33,36.62,Two year,Mailed check,DSL,No,1236.13,No
C00324,Female,0,47,54.95,One year,Credit card,No,No,2562.54,No
C00325,Female,1,52,94.18,Month-to-month,Mailed check,Fiber optic,No,4905.4,Yes
C00326,Female,1,9,95.67,Month-to-month,Bank transfer,Fiber optic,Yes,838.18,No
C00327,Male,1,33,86.69,One year,Electronic check,Fiber optic,No,2853.29,No
C00328,Male,0,60,43.4,Month-to-month,Bank transfer,Fiber optic,No,2574.75,Yes
C00329,Female,0,21,78.81,Month-to-month,Credit card,Fiber optic,No,1668.31,No
